"","score_file"
"R04C01-10018098",0.065
"R07C01-10014452",0.13
"R08C01-10016291",0.11313
"R01C01-10018460",0.226
"R02C01-10018420",0.130288
"R04C01-10018598",0.06513
"R05C01-10018603",0.178
"R06C01-10018604",0.177472
"R07C01-10018647",0.13
"R08C01-10018969",0.178
"R01C01-10018472",0.178
"R02C01-10018643",0.065
"R03C01-10018451",0.13
"R05C01-10018644",0.065
"R06C01-10018856",0.178
"R07C01-10018970",0.178
"R01C01-10016507",0.178
"R02C01-10016490",0.178
"R04C01-10016503",0.13
"R05C01-10013507",0.178
"R07C01-10016496",0.048438
"R08C01-10016493",0.13
"R01C01-10018374",0.13
"R02C01-10018611",0.178
"R03C01-10018527",0.226
"R04C01-10018562",0.130144
"R05C01-10007720",0.13
"R06C01-10010281",0.178
"R07C01-10018545",0.13
"R08C01-10018594",0.13
"R01C01-10018342",0.13
"R03C01-10018588",0.17824
"R04C01-10018505",0.224992
"R05C01-10018549",0.13
"R06C01-10018512",0.178
"R07C01-10018593",0.065065
"R01C01-10023276",0.13
"R02C01-10014716",0.178
"R04C01-10022082",0.13
"R05C01-10021524",0.178
"R06C01-10023089",4.79999999999947e-05
"R07C01-10021396",0.178
"R08C01-10022042",0.226
"R01C01-10013298",0.178
"R02C01-10014103",0.13
"R03C01-10014100",0.178
"R04C01-10014243",0.13
"R06C01-10014240",0.06526
"R07C01-10014244",0.130096
"R08C01-10014237",0.178
"R01C01-10014899",0.178
"R02C01-10014913",0.13
"R03C01-10014915",0.13
"R04C01-10014945",0.130048
"R06C01-10021514",0.178
"R07C01-10021984",0.13
"R08C01-10021971",0.13
"R01C01-10018621",0.178
"R02C01-10018459",0.178
"R03C01-10018403",0.13
"R04C01-10018524",0.13
"R06C01-10019074",0.13
"R08C01-10018546",0.126295
"R02C01-10020957",0.13
"R03C01-10020914",0.178048
"R04C01-10010606",0.130048
"R06C01-10014153",0.13
"R08C01-10010306",0.113
"R01C01-10014097",0.130096
"R02C01-10014446",0.178
"R03C01-10014385",0.226
"R04C01-10014503",0.178
"R05C01-10014515",0.065048
"R07C01-10014483",0.13
"R08C01-10014484",0.13
"R01C01-10014735",0.130672
"R02C01-10012974",0.178
"R04C01-10014701",0.13
"R05C01-10014864",0.13
"R06C01-10014731",0.13
"R07C01-10014929",0.178
"R08C01-10012975",0.13
"R02C01-10014031",0.178
"R04C01-10018063",0.13
"R05C01-10014993",0.113
"R06C01-10018070",0.13
"R07C01-10018047",0.13
"R08C01-10012969",0.113065
"R02C01-10014767",0.13
"R03C01-10014925",0.178
"R05C01-10018051",0.13
"R06C01-10014922",0.130048
"R07C01-10014923",0.226
"R08C01-10014865",0.226
"R01C01-10023728",0.13
"R02C01-10022800",0.13
"R04C01-10018919",0.161158
"R05C01-10011836",0.065585
"R07C01-10014121",0.178
"R08C01-10014353",0.13
"R02C01-10014518",0.13
"R03C01-10014652",0.13
"R04C01-10014556",0.178
"R05C01-10014651",0.13
"R06C01-10014657",0.178
"R08C01-10014428",0.065
"R01C01-10014904",0.177952
"R02C01-10014902",0.065
"R04C01-10014905",0.130048
"R05C01-10014907",0.13
"R06C01-10014903",0.13
"R07C01-10018086",0.13
"R08C01-10018095",0.13
"R02C01-10016494",0.13
"R03C01-10016500",0.178
"R05C01-10016519",0.065
"R06C01-10016387",0.13
"R07C01-10016516",0.13
"R08C01-10016514",0.13
"R01C01-10014114",0.178
"R02C01-10011629",0.130096
"R03C01-10014151",0.177184
"R05C01-10014156",0.130048
"R06C01-10014120",0.226
"R07C01-10013317",0.13
"R01C01-10026656",0.065975
"R02C01-10026156",0.177952
"R03C01-10027225",0.226
"R04C01-10027229",0.178
"R05C01-10027104",0.13
"R06C01-10030461",0.178
"R07C01-10028726",0.113
"R08C01-10030466",0.178
"R01C01-10018998",0.13
"R03C01-10018978",0.113
"R04C01-10018997",0.17776
"R05C01-10018980",0.13
"R07C01-10018999",0.13
"R02C01-10022060",0.13
"R05C01-10021904",0.13
"R06C01-10012978",0.130048
"R07C01-10022061",0.226
"R08C01-10021976",0.130048
"R01C01-10021462",0.13
"R02C01-10021368",0.130096
"R03C01-10021488",0.226
"R04C01-10012973",0.13
"R05C01-10021487",0.177952
"R06C01-10021460",0.226
"R08C01-10021346",0.096195
"R01C01-10021339",0.13
